Time,VIB57,VIB58,VIB59
08:15:42:400,0.3408,0.647,1.5486
08:15:42:404,0.3288,0.6862,1.603
08:15:42:408,0.3376,0.6746,1.5154
08:15:42:412,0.3512,0.6286,1.6094
08:15:42:416,0.3524,0.6426,1.525
08:15:42:419,0.3468,0.6502,1.573
08:15:42:423,0.342,0.6594,1.5478
08:15:42:427,0.3376,0.6382,1.5422
08:15:42:431,0.3384,0.6406,1.5226
08:15:42:435,0.3316,0.6594,1.4886
08:15:42:439,0.3488,0.655,1.5122
08:15:42:443,0.3496,0.6642,1.4882
08:15:42:447,0.3296,0.6586,1.4862
08:15:42:451,0.3104,0.679,1.523
08:15:42:455,0.338,0.6918,1.5078
08:15:42:458,0.3472,0.6674,1.5062
08:15:42:462,0.3532,0.6886,1.4778
08:15:42:466,0.3396,0.6878,1.5114
08:15:42:470,0.3336,0.6938,1.5022
08:15:42:474,0.336,0.6802,1.5162
08:15:42:478,0.3496,0.6874,1.495
08:15:42:482,0.3416,0.6774,1.5474
08:15:42:486,0.3452,0.6758,1.5454
08:15:42:490,0.3672,0.665,1.513
08:15:42:494,0.3392,0.6654,1.5266
08:15:42:498,0.3432,0.6686,1.5166
08:15:42:501,0.3412,0.6574,1.5394
08:15:42:505,0.3328,0.6458,1.5362
08:15:42:509,0.3364,0.6458,1.5278
08:15:42:513,0.32,0.6694,1.5094
08:15:42:517,0.3204,0.6606,1.5286
08:15:42:521,0.3188,0.6658,1.5058
08:15:42:525,0.3396,0.6474,1.4906
08:15:42:529,0.3128,0.6606,1.4934
08:15:42:533,0.3444,0.6366,1.4938
08:15:42:537,0.3592,0.6354,1.4734
08:15:42:541,0.3512,0.6414,1.4558
08:15:42:544,0.3492,0.647,1.5026
08:15:42:548,0.3372,0.6438,1.4978
08:15:42:552,0.3604,0.631,1.5122
08:15:42:556,0.3572,0.6406,1.5346
08:15:42:560,0.3456,0.6282,1.5474
08:15:42:564,0.3496,0.6498,1.5466
08:15:42:568,0.36,0.695,1.415
08:15:42:572,0.3136,0.6074,1.6262
08:15:42:576,0.3384,0.6742,1.4698
08:15:42:580,0.342,0.6298,1.5778
08:15:42:583,0.3184,0.6654,1.5182
08:15:42:587,0.318,0.6454,1.5546
08:15:42:591,0.328,0.675,1.5198
08:15:42:595,0.3344,0.6406,1.5614
08:15:42:599,0.3644,0.6534,1.5246
08:15:42:603,0.3424,0.6522,1.5558
08:15:42:607,0.3416,0.6586,1.5638
08:15:42:611,0.338,0.6634,1.539
08:15:42:615,0.3436,0.6722,1.5286
08:15:42:619,0.3396,0.6742,1.5106
08:15:42:623,0.35,0.677,1.4966
08:15:42:626,0.3556,0.6846,1.503
08:15:42:630,0.3628,0.6766,1.5146
