2018.11.21-16:09:50
iter:0   loss_train: 0.1603121   loss_test: 0.1824132
iter:10   loss_train: 0.10197574   loss_test: 0.14093934
iter:20   loss_train: 0.08892647   loss_test: 0.13285148
iter:30   loss_train: 0.08418212   loss_test: 0.12862575
iter:40   loss_train: 0.081593834   loss_test: 0.12561595
iter:50   loss_train: 0.08042799   loss_test: 0.124216005
iter:60   loss_train: 0.07916318   loss_test: 0.123238094
iter:70   loss_train: 0.07809524   loss_test: 0.12262446
iter:80   loss_train: 0.07721507   loss_test: 0.12225556
iter:90   loss_train: 0.076492   loss_test: 0.122033544
iter:100   loss_train: 0.075901   loss_test: 0.12189355
iter:110   loss_train: 0.07542123   loss_test: 0.12179703
iter:120   loss_train: 0.075034134   loss_test: 0.121722385
iter:130   loss_train: 0.07472306   loss_test: 0.121657655
iter:140   loss_train: 0.07447334   loss_test: 0.12159628
iter:150   loss_train: 0.07427255   loss_test: 0.12153484
iter:160   loss_train: 0.074110396   loss_test: 0.12147194
iter:170   loss_train: 0.073978566   loss_test: 0.121407434
iter:180   loss_train: 0.07387038   loss_test: 0.12134202
iter:190   loss_train: 0.0737806   loss_test: 0.121276684
iter:200   loss_train: 0.07370513   loss_test: 0.12121266
iter:210   loss_train: 0.0736408   loss_test: 0.12115104
iter:220   loss_train: 0.07358517   loss_test: 0.12109271
iter:230   loss_train: 0.07353632   loss_test: 0.121038295
iter:240   loss_train: 0.07349279   loss_test: 0.12098818
iter:250   loss_train: 0.073453374   loss_test: 0.12094243
iter:260   loss_train: 0.0734171   loss_test: 0.12090097
iter:270   loss_train: 0.07338314   loss_test: 0.12086351
iter:280   loss_train: 0.073350795   loss_test: 0.120829724
iter:290   loss_train: 0.0733195   loss_test: 0.12079918
iter:300   loss_train: 0.07328875   loss_test: 0.12077149
iter:310   loss_train: 0.07325811   loss_test: 0.12074626
iter:320   loss_train: 0.07322722   loss_test: 0.1207231
iter:330   loss_train: 0.073195726   loss_test: 0.12070163
iter:340   loss_train: 0.07316336   loss_test: 0.12068154
iter:350   loss_train: 0.07312985   loss_test: 0.120662495
iter:360   loss_train: 0.073094904   loss_test: 0.120644175
iter:370   loss_train: 0.07305831   loss_test: 0.12062625
iter:380   loss_train: 0.07301977   loss_test: 0.12060842
iter:390   loss_train: 0.072979026   loss_test: 0.12059032
2018.11.21-16:16:56
