2018.11.21-16:54:10
loss_train: 0.16029254	loss_test: 0.18036847
loss_train: 0.11403691	loss_test: 0.1420195
loss_train: 0.09936007	loss_test: 0.13291524
loss_train: 0.093006216	loss_test: 0.13011856
loss_train: 0.0886446	loss_test: 0.12883885
loss_train: 0.08581508	loss_test: 0.12888789
loss_train: 0.083567716	loss_test: 0.12927826
loss_train: 0.08192092	loss_test: 0.13014828
loss_train: 0.080020495	loss_test: 0.12934056
loss_train: 0.07912246	loss_test: 0.12909035
loss_train: 0.078451924	loss_test: 0.12852116
loss_train: 0.077860184	loss_test: 0.12782139
loss_train: 0.07732546	loss_test: 0.12707442
loss_train: 0.076829866	loss_test: 0.12631607
loss_train: 0.07636619	loss_test: 0.12556715
loss_train: 0.075936645	loss_test: 0.12484463
loss_train: 0.07554779	loss_test: 0.12416358
loss_train: 0.07520528	loss_test: 0.1235362
loss_train: 0.074910946	loss_test: 0.12297084
loss_train: 0.07466253	loss_test: 0.12247194
loss_train: 0.07445487	loss_test: 0.12203979
loss_train: 0.0742815	loss_test: 0.12167116
loss_train: 0.074135944	loss_test: 0.12136014
loss_train: 0.07401242	loss_test: 0.12109946
loss_train: 0.07390611	loss_test: 0.12088156
loss_train: 0.073813185	loss_test: 0.12069948
loss_train: 0.073730655	loss_test: 0.12054714
loss_train: 0.073656216	loss_test: 0.12041937
loss_train: 0.073588155	loss_test: 0.120312035
loss_train: 0.0735252	loss_test: 0.12022174
loss_train: 0.07346646	loss_test: 0.12014576
loss_train: 0.07341135	loss_test: 0.120081946
loss_train: 0.07335958	loss_test: 0.120028555
loss_train: 0.07331104	loss_test: 0.11998431
loss_train: 0.07326584	loss_test: 0.11994819
loss_train: 0.07322428	loss_test: 0.11991951
loss_train: 0.07318677	loss_test: 0.119897805
loss_train: 0.073153846	loss_test: 0.11988286
loss_train: 0.07312612	loss_test: 0.119874604
loss_train: 0.0731042	loss_test: 0.11987319
2018.11.21-17:00:28
