Time,VIB57,VIB58,VIB59
13:50:08:902,0.4212,0.7518,1.531
13:50:08:906,0.4168,0.7502,1.5298
13:50:08:910,0.4196,0.7526,1.5282
13:50:08:914,0.4224,0.7518,1.5282
13:50:08:917,0.4212,0.755,1.5258
13:50:08:921,0.4168,0.753,1.5238
13:50:08:925,0.4196,0.755,1.5242
13:50:08:929,0.4208,0.7562,1.5254
13:50:08:933,0.4196,0.753,1.523
13:50:08:937,0.4164,0.753,1.5286
13:50:08:941,0.4176,0.753,1.5278
13:50:08:945,0.418,0.7538,1.5314
13:50:08:949,0.4224,0.7538,1.5266
13:50:08:953,0.4184,0.7534,1.5242
13:50:08:957,0.42,0.7494,1.521
13:50:08:960,0.4216,0.7518,1.5194
13:50:08:964,0.4168,0.7538,1.5186
13:50:08:968,0.42,0.7486,1.521
13:50:08:972,0.4164,0.745,1.521
13:50:08:976,0.4196,0.749,1.5194
13:50:08:980,0.4212,0.747,1.5186
13:50:08:984,0.4172,0.7514,1.5194
13:50:08:988,0.4208,0.7466,1.523
13:50:08:992,0.4212,0.751,1.5186
13:50:08:996,0.4184,0.747,1.5206
13:50:09:000,0.4196,0.7474,1.5222
13:50:09:003,0.4188,0.7458,1.5214
13:50:09:007,0.4224,0.7494,1.5254
13:50:09:011,0.4184,0.7482,1.5234
13:50:09:015,0.42,0.749,1.5218
13:50:09:019,0.4224,0.7474,1.5226
13:50:09:023,0.4144,0.7482,1.5238
13:50:09:027,0.4184,0.7466,1.5202
13:50:09:031,0.4168,0.7514,1.5234
13:50:09:035,0.4184,0.7518,1.5222
13:50:09:039,0.4224,0.7514,1.5218
13:50:09:042,0.418,0.7486,1.5274
13:50:09:046,0.4208,0.7494,1.5238
13:50:09:050,0.4208,0.749,1.5262
13:50:09:054,0.4228,0.7482,1.5238
13:50:09:058,0.4232,0.7502,1.5258
13:50:09:062,0.4208,0.7502,1.5202
13:50:09:066,0.4236,0.7522,1.5206
13:50:09:070,0.4196,0.753,1.5238
13:50:09:074,0.4216,0.7518,1.5194
13:50:09:078,0.4224,0.7546,1.5214
13:50:09:082,0.4224,0.755,1.5222
13:50:09:085,0.4192,0.7538,1.523
13:50:09:089,0.4196,0.7538,1.517
13:50:09:093,0.4196,0.753,1.5162
13:50:09:097,0.4224,0.755,1.5218
13:50:09:101,0.4192,0.7522,1.5174
13:50:09:105,0.4184,0.753,1.5214
13:50:09:109,0.4176,0.7522,1.5226
13:50:09:113,0.4204,0.751,1.5222
13:50:09:117,0.4168,0.753,1.5214
13:50:09:121,0.4196,0.7478,1.5202
13:50:09:125,0.4168,0.7458,1.5202
13:50:09:128,0.4204,0.7502,1.5194
13:50:09:132,0.4172,0.749,1.5218
13:50:09:136,0.4192,0.751,1.5234
13:50:09:140,0.4244,0.7494,1.5242
13:50:09:144,0.4196,0.7518,1.5278
13:50:09:148,0.4212,0.7458,1.527
13:50:09:152,0.4136,0.7474,1.5238
13:50:09:156,0.422,0.7478,1.5234
13:50:09:160,0.4196,0.7514,1.5286
13:50:09:164,0.42,0.7482,1.523
13:50:09:167,0.4212,0.7486,1.523
13:50:09:171,0.42,0.7502,1.523
13:50:09:175,0.4208,0.7554,1.5206
13:50:09:179,0.416,0.7534,1.5242
13:50:09:183,0.4224,0.7542,1.5246
13:50:09:187,0.4196,0.7522,1.5278
13:50:09:191,0.4196,0.7546,1.5282
13:50:09:195,0.4188,0.7526,1.5322
13:50:09:199,0.4224,0.7546,1.5322
13:50:09:203,0.42,0.7542,1.533
13:50:09:207,0.4216,0.7546,1.535
13:50:09:210,0.4188,0.7526,1.531
13:50:09:214,0.422,0.751,1.5302
13:50:09:218,0.418,0.7522,1.529
13:50:09:222,0.422,0.7558,1.5298
13:50:09:226,0.4168,0.7554,1.525
13:50:09:230,0.424,0.7554,1.5286
13:50:09:234,0.4192,0.7542,1.5286
13:50:09:238,0.4224,0.7546,1.529
13:50:09:242,0.4188,0.753,1.5326
13:50:09:246,0.4172,0.7534,1.529
13:50:09:250,0.4228,0.7522,1.531
13:50:09:253,0.4188,0.7518,1.5262
13:50:09:257,0.4208,0.7506,1.5266
13:50:09:261,0.4204,0.7518,1.527
13:50:09:265,0.4216,0.7506,1.5266
13:50:09:269,0.4184,0.7494,1.527
13:50:09:273,0.418,0.7502,1.5282
13:50:09:277,0.4216,0.7486,1.5274
13:50:09:281,0.4232,0.7502,1.529
13:50:09:285,0.4188,0.7482,1.5306
13:50:09:289,0.4212,0.749,1.531
13:50:09:292,0.424,0.7486,1.531
13:50:09:296,0.4192,0.7486,1.533
13:50:09:300,0.4168,0.7506,1.5314
13:50:09:304,0.4212,0.7466,1.5322
13:50:09:308,0.4216,0.749,1.5334
13:50:09:312,0.424,0.7486,1.531
13:50:09:316,0.4176,0.7502,1.5342
13:50:09:320,0.4208,0.7498,1.531
13:50:09:324,0.4224,0.7514,1.533
13:50:09:328,0.4244,0.7518,1.5322
13:50:09:332,0.4212,0.751,1.5374
13:50:09:335,0.418,0.7526,1.5334
